OrderID,OrderDate,CustomerID,BookID,BookName,Author,BookCategory,PriceINR,Quantity,TotalINR,PaymentType,StoreLocation
O100062,4/13/2023 19:08,C8486,B1074,Whispering Stars,Siddharth Mehta,Self-Help,629.75,1,629.75,Cash,Mumbai
O100063,6/10/2025 23:50,C3529,B1037,Crimson Skies,Saurav Mehta,Biography,627.17,1,627.17,Cash,Ahmedabad
O100064,12/13/2023 22:41,C7512,B1069,Gentle Skies - Vol 9,Rahul Khan,Sci-Fi,669.98,2,1339.96,Cash,Hyderabad
O100065,1/25/2024 11:31,C8994,B1015,Lonely Rivers,Maya Singh,History,1271.88,1,1271.88,Cash,Delhi
O100066,10/8/2024 10:27,C4727,B1069,Gentle Skies - Vol 9,Rahul Khan,Romance,1079.53,2,2159.06,Cash,Pune
O100067,2/17/2025 23:04,C2646,B1058,Hidden Garden - Vol 4,Deepak Iyer,Non-Fiction,423.71,2,847.42,NetBanking,Mumbai
O100068,7/14/2025 1:03,C1753,B1018,Secret Stars,Isha Das,Sci-Fi,600.81,1,600.81,UPI,Kolkata
O100069,1/3/2024 13:38,C8056,B1104,Gentle Forest (105),Sana Desai,Sci-Fi,1072.8,1,1072.8,Card,Bengaluru
O100070,2/26/2024 20:36,C3950,B1081,Lost Promises - Vol 2,Sana Iyer,History,1275.2,1,1275.2,Card,Mumbai
O100071,9/16/2024 13:55,C4945,B1056,Golden Storms,Sana Mehta,Non-Fiction,276.48,3,829.44,NetBanking,Mumbai
O100072,4/17/2024 23:13,C5161,B1093,Modern Machine,Arjun Das,Romance,1079.49,1,1079.49,NetBanking,Chennai
O100073,7/9/2025 16:56,C5712,B1015,Lonely Rivers,Maya Singh,Fiction,1246.95,1,1246.95,Card,Delhi
O100074,8/25/2025 12:34,C5901,B1059,Broken Memory,Amit Verma,Self-Help,479.68,5,2398.4,NetBanking,Chennai
O100075,5/15/2025 10:59,C4263,B1011,Hidden Machine,Rhea Roy,Self-Help,889.89,2,1779.78,NetBanking,Ahmedabad
O100076,8/31/2023 13:53,C6881,B1118,Burning Sea,Arjun Verma,Non-Fiction,587.52,1,587.52,UPI,Chennai
O100077,4/29/2025 23:57,C7484,B1047,Lost Rivers,Karan Iyer,Fiction,1287.55,2,2575.1,UPI,Kolkata
O100078,6/4/2025 1:47,C9138,B1053,Whispering Sea (54),Nisha Iyer,Children,1195.45,1,1195.45,UPI,Bengaluru
O100079,4/1/2025 12:49,C4588,B1074,Whispering Stars,Siddharth Mehta,Children,1410.24,2,2820.48,Card,Chennai
O100080,10/5/2024 3:32,C1645,B1103,Broken Promises,Amit Khan,Mystery,956.27,1,956.27,UPI,Ahmedabad
O100081,8/16/2024 13:17,C3153,B1088,Ancient Cities,Priya Iyer,Fiction,1034.97,1,1034.97,Cash,Chennai
O100082,2/4/2025 15:07,C3877,B1109,Hidden Sea,Deepak Patel,Fantasy,876.7,1,876.7,Card,Mumbai
O100083,6/16/2025 13:19,C9697,B1079,Hidden Dreams,Rhea Bose,History,1491.36,1,1491.36,UPI,Mumbai
O100084,7/24/2025 17:32,C5835,B1067,Fading Promises,Meera Desai,Sci-Fi,447.17,1,447.17,UPI,Delhi
O100085,9/13/2025 2:44,C3306,B1019,Lost Pages,Deepak Sharma,Self-Help,625.36,2,1250.72,Card,Pune
O100086,1/10/2024 3:17,C7464,B1066,Secret Song,Saurav Das,History,1026.85,1,1026.85,Cash,Chennai
O100087,5/7/2023 16:33,C7038,B1075,Burning Cities,Vikram Gupta,History,821.65,1,821.65,UPI,Pune
O100088,4/21/2023 8:30,C8724,B1021,Broken Song,Rhea Mehta,Fantasy,456.46,4,1825.84,Cash,Hyderabad
O100089,8/15/2023 23:34,C2035,B1108,Hidden Cities,Arjun Sharma,Children,791.22,3,2373.66,NetBanking,Chennai
O100090,4/30/2023 5:05,C1742,B1026,Glowing Empire,Ananya Verma,Biography,1216.04,1,1216.04,Cash,Chennai
O100091,4/29/2023 3:32,C4846,B1027,Burning Voices,Karan Bose,Self-Help,1042.45,2,2084.9,Card,Pune
O100092,1/15/2024 19:40,C7866,B1060,Ancient Storms,Tara Khan,Self-Help,808.39,1,808.39,Card,Pune
O100093,5/3/2025 17:48,C7686,B1063,Shadow Forest,Meera Patel,Non-Fiction,1010.11,1,1010.11,UPI,Kolkata
O100094,8/11/2023 16:08,C8285,B1091,Wild Stars - Vol 6,Arjun Desai,Fantasy,768.05,1,768.05,Card,Hyderabad
O100095,12/3/2024 13:22,C9920,B1005,Gentle Forest,Arjun Sharma,Non-Fiction,630.45,1,630.45,UPI,Kolkata
O100096,10/10/2023 6:54,C3001,B1023,Hidden Garden,Karan Bose,Biography,576.1,1,576.1,NetBanking,Delhi
O100097,10/19/2024 23:16,C1349,B1094,Lonely Pages,Karan Roy,Romance,1448.83,2,2897.66,Cash,Hyderabad
O100098,5/9/2023 20:33,C4362,B1062,Secret Skies - Vol 7,Vikram Sharma,Romance,541.56,1,541.56,Cash,Bengaluru
O100099,8/10/2023 8:28,C6383,B1032,Hidden Skies - Vol 3,Nisha Gupta,Children,557.04,1,557.04,Card,Kolkata
O100100,5/29/2025 5:16,C3129,B1024,Lost Legends,Karan Mehta,Sci-Fi,664.28,2,1328.56,UPI,Mumbai
O100101,11/7/2024 0:56,C3159,B1066,Secret Song,Saurav Das,Non-Fiction,906.11,1,906.11,Cash,Hyderabad
O100102,8/25/2024 11:47,C1258,B1031,Ancient Mirror,Amit Desai,Romance,1045.51,1,1045.51,Card,Chennai
O100103,5/10/2023 15:19,C9619,B1026,Glowing Empire,Ananya Verma,Fiction,527.21,1,527.21,Cash,Delhi
O100104,4/4/2024 13:10,C9408,B1103,Broken Promises,Amit Khan,Self-Help,1081.18,2,2162.36,Cash,Ahmedabad
O100105,8/15/2023 22:23,C1710,B1047,Lost Rivers,Karan Iyer,History,882.34,1,882.34,UPI,Ahmedabad
O100106,3/4/2023 17:26,C7580,B1025,Forgotten Garden,Deepak Das,Fiction,1237.15,2,2474.3,NetBanking,Delhi
O100107,12/30/2024 16:08,C2204,B1012,Whispering Rivers,Saurav Bose,Self-Help,232.52,1,232.52,Cash,Hyderabad
O100108,6/1/2023 2:23,C3067,B1035,Gentle Paths,Karan Iyer,Children,1220.85,1,1220.85,UPI,Hyderabad
O100109,9/3/2024 19:19,C5831,B1109,Hidden Sea,Deepak Patel,Biography,1217.4,2,2434.8,NetBanking,Pune
O100110,3/23/2025 4:09,C4522,B1086,Broken Legends,Rhea Bose,Non-Fiction,158.08,1,158.08,NetBanking,Ahmedabad
O100111,2/28/2024 12:20,C8430,B1031,Ancient Mirror,Amit Desai,Romance,917.45,1,917.45,NetBanking,Pune
O100112,11/17/2023 15:32,C6120,B1024,Lost Legends,Karan Mehta,Non-Fiction,333.8,5,1669,UPI,Hyderabad
O100113,12/4/2024 17:16,C2099,B1021,Broken Song,Rhea Mehta,Mystery,934.76,1,934.76,Cash,Delhi
O100114,3/18/2024 3:30,C7105,B1051,Midnight Forest,Saurav Sharma,Non-Fiction,173.55,1,173.55,Card,Kolkata
O100115,9/6/2025 20:26,C6400,B1106,Ancient Song - Vol 6,Ananya Desai,Children,295.22,1,295.22,Cash,Pune
O100116,6/13/2025 15:23,C1842,B1052,Gentle Legends,Meera Roy,Fantasy,494.46,4,1977.84,UPI,Chennai
O100117,4/17/2023 21:02,C9313,B1102,Broken Dreams - Vol 3,Ananya Verma,Fantasy,237.69,1,237.69,Card,Mumbai
O100118,8/18/2023 3:56,C6736,B1115,Golden Stars - Vol 12,Ananya Gupta,Self-Help,687.26,1,687.26,UPI,Delhi
O100119,8/10/2024 8:14,C8030,B1039,Broken Mirror,Meera Khan,Sci-Fi,1121.28,4,4485.12,Cash,Chennai
O100120,7/4/2023 9:56,C6062,B1105,Bright Rivers (106),Rahul Singh,Fiction,565.36,2,1130.72,UPI,Hyderabad
O100121,7/5/2023 5:12,C7566,B1062,Secret Skies - Vol 7,Vikram Sharma,Fiction,717.83,2,1435.66,Cash,Mumbai
O100122,4/4/2023 19:18,C4524,B1089,Lost Paths,Deepak Roy,Fiction,154.96,4,619.84,NetBanking,Pune
O100123,12/16/2023 5:43,C7062,B1022,Crimson Dreams,Neha Verma,Self-Help,710.65,1,710.65,UPI,Hyderabad
O100124,9/2/2024 3:05,C1861,B1000,Bright Paths,Ananya Das,Children,358.97,1,358.97,Card,Mumbai
O100125,2/20/2023 2:58,C5458,B1033,Fading Pages - Vol 7,Ananya Bose,Children,450.67,1,450.67,NetBanking,Pune
O100126,9/13/2024 16:05,C7785,B1088,Ancient Cities,Priya Iyer,Self-Help,1030.41,1,1030.41,UPI,Bengaluru
O100127,4/27/2023 12:34,C8043,B1015,Lonely Rivers,Maya Singh,History,832.52,1,832.52,Cash,Chennai
O100128,5/13/2024 19:11,C6053,B1068,Golden Rivers,Tara Roy,Children,963.56,1,963.56,Cash,Bengaluru
O100129,9/5/2024 1:59,C1125,B1075,Burning Cities,Vikram Gupta,Biography,900.57,1,900.57,Card,Chennai
O100130,2/24/2025 4:59,C5186,B1085,Forgotten Storms,Deepak Roy,Romance,139.85,1,139.85,UPI,Hyderabad
O100131,1/8/2023 18:06,C8055,B1068,Golden Rivers,Tara Roy,Non-Fiction,249.84,1,249.84,Card,Mumbai
O100132,6/29/2024 8:22,C9196,B1061,Golden Memory,Priya Bose,Biography,1090.34,1,1090.34,UPI,Delhi
O100133,6/1/2025 1:32,C8147,B1089,Lost Paths,Deepak Roy,Biography,1172.68,2,2345.36,Cash,Ahmedabad
O100134,6/1/2025 11:23,C8033,B1099,Midnight Legends,Deepak Khan,Non-Fiction,358.85,1,358.85,NetBanking,Pune
O100135,4/28/2023 14:44,C1341,B1022,Crimson Dreams,Neha Verma,Sci-Fi,186.27,3,558.81,UPI,Mumbai
O100136,4/16/2024 13:10,C2443,B1099,Midnight Legends,Deepak Khan,Children,182.47,1,182.47,NetBanking,Delhi
O100137,3/22/2024 21:26,C7560,B1018,Secret Stars,Isha Das,Romance,813.82,2,1627.64,Cash,Pune
O100138,2/2/2025 12:21,C4630,B1068,Golden Rivers,Tara Roy,Sci-Fi,1063.19,1,1063.19,UPI,Mumbai
O100139,6/6/2024 23:03,C2868,B1079,Hidden Dreams,Rhea Bose,Non-Fiction,1005.9,1,1005.9,Card,Hyderabad
O100140,1/14/2025 23:29,C3419,B1031,Ancient Mirror,Amit Desai,Fantasy,1416.58,1,1416.58,Card,Delhi
O100141,9/20/2023 7:10,C3842,B1049,Ancient Memory,Arjun Singh,Mystery,910.67,1,910.67,Card,Delhi
O100142,9/1/2025 22:51,C9095,B1060,Ancient Storms,Tara Khan,Mystery,872.41,3,2617.23,NetBanking,Ahmedabad
O100143,10/20/2024 23:07,C6295,B1066,Secret Song,Saurav Das,Children,1251.37,1,1251.37,UPI,Mumbai
O100144,3/11/2023 17:04,C8245,B1042,Ancient Sea,Amit Mehta,Self-Help,390,1,390,UPI,Chennai
O100145,2/27/2023 12:48,C9312,B1094,Lonely Pages,Karan Roy,Children,640.24,1,640.24,Cash,Chennai
O100146,4/7/2024 1:22,C1932,B1113,Modern Forest - Vol 12,Isha Khan,Self-Help,1061.87,1,1061.87,UPI,Chennai
O100147,10/22/2024 3:17,C9307,B1007,Silent Promises,Nisha Gupta,Non-Fiction,651.46,1,651.46,NetBanking,Ahmedabad
O100148,7/21/2024 1:29,C8368,B1033,Fading Pages - Vol 7,Ananya Bose,Children,479.5,1,479.5,Card,Hyderabad
O100149,5/2/2024 18:15,C3471,B1057,Lost Dreams (58),Arjun Sharma,Children,1080.8,1,1080.8,Cash,Ahmedabad
O100150,4/10/2025 12:30,C2381,B1028,Golden Song,Sana Iyer,Non-Fiction,174.04,1,174.04,Card,Kolkata
O100151,12/25/2024 15:56,C8199,B1035,Gentle Paths,Karan Iyer,Romance,364.69,2,729.38,Card,Hyderabad
O100152,7/28/2025 10:17,C7347,B1063,Shadow Forest,Meera Patel,Fantasy,914.2,2,1828.4,NetBanking,Hyderabad
O100153,2/23/2023 22:58,C6482,B1035,Gentle Paths,Karan Iyer,Children,633.01,2,1266.02,Cash,Hyderabad
O100154,7/25/2024 14:04,C5655,B1023,Hidden Garden,Karan Bose,Non-Fiction,1315.75,1,1315.75,UPI,Mumbai
O100155,3/25/2023 21:13,C3317,B1011,Hidden Machine,Rhea Roy,Fantasy,711.58,2,1423.16,UPI,Chennai
O100156,5/13/2023 21:39,C2388,B1088,Ancient Cities,Priya Iyer,Biography,448.53,1,448.53,UPI,Pune
O100157,4/12/2025 4:39,C9624,B1112,Ancient Echoes,Ananya Das,Fantasy,816.74,2,1633.48,Cash,Pune
O100158,1/6/2024 0:39,C6940,B1085,Forgotten Storms,Deepak Roy,History,530.44,1,530.44,UPI,Mumbai
O100159,12/16/2023 17:42,C4145,B1099,Midnight Legends,Deepak Khan,Romance,134.95,3,404.85,Card,Mumbai
O100160,3/21/2023 10:46,C2657,B1075,Burning Cities,Vikram Gupta,Mystery,609.41,4,2437.64,Cash,Hyderabad
O100161,5/15/2023 21:44,C7172,B1094,Lonely Pages,Karan Roy,Children,1430.89,1,1430.89,Card,Mumbai
O100162,5/1/2025 22:44,C3712,B1110,Golden Skies,Meera Patel,Mystery,234.85,1,234.85,NetBanking,Kolkata
O100163,1/9/2024 8:38,C8277,B1011,Hidden Machine,Rhea Roy,Biography,573.23,1,573.23,UPI,Ahmedabad
O100164,6/30/2024 8:42,C6070,B1099,Midnight Legends,Deepak Khan,Romance,1424.8,2,2849.6,NetBanking,Bengaluru
O100165,11/25/2024 20:46,C8218,B1038,Modern Machine - Vol 12,Rhea Khan,Fantasy,245.77,1,245.77,NetBanking,Chennai
O100166,5/29/2024 19:12,C7859,B1038,Modern Machine - Vol 12,Rhea Khan,Biography,1493.39,1,1493.39,Card,Bengaluru
O100167,5/22/2023 9:06,C1854,B1034,Midnight Machine,Arjun Gupta,Children,1344.14,1,1344.14,NetBanking,Hyderabad
O100168,8/14/2025 3:44,C9452,B1017,Shadow Promises,Tara Bose,History,1455.77,1,1455.77,Cash,Chennai
O100169,2/20/2025 5:50,C5469,B1057,Lost Dreams (58),Arjun Sharma,Non-Fiction,972.52,1,972.52,NetBanking,Mumbai
O100170,4/4/2023 8:05,C8391,B1006,Forgotten Stars,Maya Patel,Biography,707.58,1,707.58,UPI,Kolkata
O100171,2/24/2023 14:26,C9224,B1008,Crimson Stars - Vol 6,Priya Sharma,Biography,1253.35,2,2506.7,UPI,Bengaluru
O100172,3/25/2023 13:39,C4678,B1004,Wild Pages - Vol 4,Rahul Das,Biography,827.88,1,827.88,Cash,Hyderabad
O100173,5/9/2025 23:39,C6493,B1007,Silent Promises,Nisha Gupta,Non-Fiction,636.12,1,636.12,Card,Mumbai
O100174,10/21/2023 17:12,C3273,B1115,Golden Stars - Vol 12,Ananya Gupta,Fiction,446.39,3,1339.17,NetBanking,Ahmedabad
O100175,1/6/2023 2:53,C1311,B1044,Midnight Garden,Tara Mehta,Children,1158.91,1,1158.91,UPI,Bengaluru
O100176,7/15/2024 22:10,C9647,B1030,Whispering Sea,Ananya Mehta,Mystery,784.22,1,784.22,NetBanking,Delhi
O100177,9/1/2023 10:57,C2996,B1038,Modern Machine - Vol 12,Rhea Khan,Sci-Fi,705,3,2115,Cash,Bengaluru
O100178,10/16/2024 22:40,C8489,B1038,Modern Machine - Vol 12,Rhea Khan,Biography,719.11,1,719.11,Cash,Delhi
O100179,9/3/2024 19:31,C1269,B1113,Modern Forest - Vol 12,Isha Khan,Self-Help,766.28,1,766.28,Card,Mumbai
O100180,3/15/2024 0:03,C6780,B1091,Wild Stars - Vol 6,Arjun Desai,Sci-Fi,1177.96,2,2355.92,Card,Pune
O100181,11/11/2024 3:07,C9576,B1038,Modern Machine - Vol 12,Rhea Khan,Mystery,1148.8,1,1148.8,UPI,Delhi
O100182,7/11/2024 18:28,C9316,B1061,Golden Memory,Priya Bose,History,671.91,1,671.91,Cash,Pune
O100183,2/14/2023 23:08,C7338,B1024,Lost Legends,Karan Mehta,Self-Help,1317.8,1,1317.8,UPI,Chennai
O100184,1/1/2024 2:27,C6649,B1005,Gentle Forest,Arjun Sharma,Fiction,1226.11,4,4904.44,Card,Delhi
O100185,1/22/2025 12:06,C3185,B1044,Midnight Garden,Tara Mehta,Children,179.52,2,359.04,Cash,Hyderabad
O100186,12/13/2023 23:24,C3868,B1117,Glowing Echoes,Rohit Khan,History,1395.08,3,4185.24,NetBanking,Ahmedabad
O100187,4/10/2025 4:54,C2033,B1035,Gentle Paths,Karan Iyer,Mystery,883.77,4,3535.08,NetBanking,Kolkata
O100188,7/26/2023 1:35,C4268,B1017,Shadow Promises,Tara Bose,Sci-Fi,349.21,1,349.21,Cash,Hyderabad
O100189,6/11/2024 14:29,C9897,B1014,Lost Dreams,Nisha Iyer,Sci-Fi,746.81,1,746.81,NetBanking,Chennai
O100190,2/10/2025 23:33,C4131,B1117,Glowing Echoes,Rohit Khan,Fiction,649.81,2,1299.62,UPI,Hyderabad
O100191,6/5/2025 23:52,C6438,B1074,Whispering Stars,Siddharth Mehta,Fiction,507.45,4,2029.8,UPI,Delhi
O100192,3/23/2024 14:33,C8204,B1071,Golden Promises,Siddharth Khan,Fantasy,664.05,1,664.05,NetBanking,Hyderabad
O100193,5/23/2024 18:06,C7018,B1116,Bright Empire (117),Deepak Gupta,Mystery,502.51,1,502.51,UPI,Delhi
O100194,3/22/2023 15:40,C3956,B1089,Lost Paths,Deepak Roy,Biography,655.42,1,655.42,UPI,Hyderabad
O100195,3/23/2023 11:56,C5843,B1027,Burning Voices,Karan Bose,Non-Fiction,227.2,4,908.8,UPI,Ahmedabad
O100196,1/4/2025 15:30,C3730,B1063,Shadow Forest,Meera Patel,Children,745.02,1,745.02,NetBanking,Hyderabad
O100197,2/13/2023 12:50,C8126,B1072,Glowing Legends,Maya Iyer,Self-Help,546.84,2,1093.68,UPI,Kolkata
O100198,11/18/2024 23:12,C7655,B1091,Wild Stars - Vol 6,Arjun Desai,Non-Fiction,493.65,1,493.65,UPI,Mumbai
O100199,5/27/2023 22:07,C8179,B1034,Midnight Machine,Arjun Gupta,Fiction,1254.28,3,3762.84,Cash,Mumbai
O100200,8/30/2023 23:29,C7001,B1068,Golden Rivers,Tara Roy,Non-Fiction,965.9,1,965.9,UPI,Pune
O100201,2/3/2023 22:01,C3513,B1055,Lost Garden - Vol 9,Ananya Iyer,Children,1328.92,1,1328.92,NetBanking,Hyderabad
O100202,3/30/2024 2:47,C3255,B1004,Wild Pages - Vol 4,Rahul Das,Fantasy,156.36,1,156.36,UPI,Pune
O100203,10/27/2024 10:08,C5089,B1064,Hidden Skies - Vol 12,Meera Mehta,Fantasy,782.43,5,3912.15,Cash,Kolkata
O100204,5/26/2024 18:51,C7340,B1010,Shadow Sea,Sameer Verma,Mystery,939.31,1,939.31,Cash,Chennai
O100205,12/21/2024 16:14,C4515,B1085,Forgotten Storms,Deepak Roy,Sci-Fi,1263.42,1,1263.42,UPI,Ahmedabad
O100206,5/6/2023 4:56,C2213,B1032,Hidden Skies - Vol 3,Nisha Gupta,Romance,766.33,1,766.33,NetBanking,Mumbai
O100207,3/31/2023 11:38,C6692,B1000,Bright Paths,Ananya Das,Self-Help,138.85,1,138.85,Cash,Chennai
O100208,5/21/2025 5:44,C3852,B1091,Wild Stars - Vol 6,Arjun Desai,Sci-Fi,1240.99,5,6204.95,UPI,Bengaluru
O100209,7/25/2023 5:03,C4878,B1101,Broken Dreams - Vol 7,Rhea Mehta,Non-Fiction,1379.26,1,1379.26,NetBanking,Kolkata
